departement,ville,coordonnesgroup
arrondissement de Dunkerque,Boëseghem,Point(2.4375 50.661666666)
arrondissement de Mortagne-au-Perche,Bazoches-sur-Hoëne,Point(0.471388888 48.551944444)
Charente,Bréville,Point(-0.262222222 45.796388888)
canton de Croisilles,Boiry-Becquerelle,Point(2.815277777 50.213611111)
arrondissement de Bar-le-Duc,Beausite,Point(5.192222222 48.968055555)
Eure,Bourth,Point(0.8075 48.77)
"communauté d'agglomération de Béthune-Bruay, Artois-Lys Romane",Calonne-sur-la-Lys,Point(2.616666666 50.622777777)
Mayenne,Bazouges,Point(-0.718208 47.833439)
Yonne,Aisy-sur-Armançon,Point(4.225277777 47.6675)
arrondissement d'Auch,Aubiet,Point(0.783611111 43.646111111)
canton de Routot,Bouquetot,Point(0.781944444 49.363055555)
Pas-de-Calais,Auchel,Point(2.473611111 50.508333333)
Pas-de-Calais,Bellebrune,Point(1.774444444 50.726944444)
arrondissement de Besançon,Abbans-Dessous,Point(5.874444444 47.133611111)
Savoie,Aussois,Point(6.741666666 45.2275)
arrondissement d'Ussel,Bugeat,Point(1.927222222 45.598055555)
arrondissement de Vervins,Beaumé,Point(4.152222222 49.838055555)
canton de Comps-sur-Artuby,Brenon,Point(6.543888888 43.766944444)
arrondissement de Fontenay-le-Comte,Bessay,Point(-1.154444444 46.537777777)
canton de Dourgne,Cahuzac,Point(2.078333333 43.470833333)
canton de Thiberville,Boissy-Lamberville,Point(0.576666666 49.167222222)
canton de Saint-Sauveur,Brotte-lès-Luxeuil,Point(6.347777777 47.756666666)
arrondissement de Clermont-Ferrand,Blanzat,Point(3.078055555 45.829722222)
Jura,Authume,Point(5.5025 47.125833333)
arrondissement de Libourne,Baron,Point(-0.3125 44.822222222)
arrondissement de Draguignan,Brenon,Point(6.543888888 43.766944444)
arrondissement de Saint-Gaudens,Anan,Point(0.814166666 43.355277777)
arrondissement de Sarlat-la-Canéda,Campagne,Point(0.966944444 44.9075)
arrondissement de Die,Autichamp,Point(4.965277777 44.681666666)
arrondissement d'Auch,Barran,Point(0.442777777 43.616666666)
arrondissement administratif de Bastogne,Bastogne,Point(5.72 50.004166666)
canton de Vermand,Beauvois,Point(3.103611111 49.838888888)
canton de Mirebeau,Amberre,Point(0.164722222 46.766388888)
arrondissement de Colmar,Biesheim,Point(7.543333333 48.040833333)
canton de Routot,Bourg-Achard,Point(0.8175 49.355277777)
Haut-Rhin,Breitenbach-Haut-Rhin,Point(7.100833333 48.023333333)
