nom,leonoreid,diplomes,professions
Antony Klobukowski,LH/1404/12,,diplomate
Arcisse de Caumont,LH/452/6,,anthropologue | archéologue | historien de l'art | géologue | historien
Aristide Croisy,LH/632/76,,sculpteur
Aristide Patu de Rosemont,LH/2068/8,,personnalité politique
Aristide de Gondrecourt,LH/1167/12,,officier | militaire
Aristide Vallon,LH/2670/3,,officier de marine | personnalité politique
Armand François Lamy,LH/1463/24,,personnalité politique
Armand-Gustave Houbigant,LH/1310/24,,collectionneur de livres | éditeur | illustrateur | artiste | historien | personnalité politique
Armand-Urbain de Maillé de La Tour-Landry,LH/1693/74,,personnalité politique
Armand-René Soucanye,LH/1465/59,,militaire
Armand Alexandre de Castagny,LH/443/46,,officier | militaire
Armand Baschet,LH/129/59,,critique littéraire | journaliste | polémiste | historien
Armand Besnard,LH/221/57,,officier de la Marine française
Armand Bloch,LH/258/27,,sculpteur sur bois | sculpteur
Armand Blanquet du Chayla,LH/255/15,,militaire
Armand Chappée,LH/484/64,,maître de forges | entrepreneur | personnalité politique
Armand Charles Louis Le Lièvre de La Grange,LH/1571/75,,officier | personnalité politique
Armand Clarou,19800035/265/35373,,personnalité politique
Armand Charnay,LH/492/75,,peintre
Armand Considère,LH/581/85,,ingénieur
Armand Charlet,19800035/1312/51754,,guide de haute montagne
Armand Cuvillier,19800035/1202/38876,,philosophe | journaliste
Armand Céleste de Durfort,LH/872/37,,officier | militaire
Armand Deffis,LH/687/20,,officier | personnalité politique
Armand Dayot,LH/676/12,,critique d'art
Armand Deperdussin,19800035/460/61536,,ingénieur en aérospatiale | ingénieur | personnalité du monde des affaires
Armand Durantin,LH/870/62,,dramaturge
Armand François Maximilien de Lau de Lusignan,LH/1677/7,,personnalité politique
Armand Gaultier de La Guistière,LH/1092/52,,personnalité politique
Armand Gay,LH/1102/16,,personnalité politique
Armand Husson,LH/1330/6,,statisticien | haut fonctionnaire | économiste
Armand Jacquey,LH/1344/52,,officier | personnalité politique | militaire
Armand Jahan de Belleville,LH/1348/56,,
Armand Joseph Henri Digeon,LH/776/76,,officier | militaire
Armand Laity,LH/1447/33,,personnalité politique
Armand Landrin,LH/1466/72,,anthropologue | géologue
Armand Lederlin,LH/1541/64,,personnalité politique | ingénieur | personnalité du monde des affaires
Armand Leleux,LH/1571/32,,peintre
Armand Le Véel,LH/1625/48,,sculpteur
Armand Louis Amélie Millet de Villeneuve,LH/1877/54,,officier | militaire
Armand Louis Amélie Millet de Villeneuve,LH/1878/64,,officier | militaire
Armand Marie,19800035/270/36095,,personnalité politique
Armand Mayer,19800035/235/31190,,journaliste
Armand Millet,LH/1878/15,,horticulteur
Armand Moisant,LH/1895/67,,industriel | personnalité politique | ingénieur
Armand Lunel,19800035/1439/66656,,librettiste | écrivain
Armand Porteu de la Morandière,LH/2203/65,,personnalité politique
Armand Robinot de Saint-Cyr,LH/2356/37,,personnalité politique
Armand Rousseau,LH/2401/61,,personnalité politique
Armand Reclus,LH/2281/43,,explorateur | géographe
Armand de Crussol,LH/637/46,,personnalité politique
Armand de Mackau,LH/1681/57,,personnalité politique
Armand de Melun,LH/1821/29,,personnalité politique
Armand de Polignac,LH/2192/13,,personnalité politique
Arnaud Baville,LH/147/62,,officier
Arnault Tzanck,19800035/49/6033,,hématologue | médecin
Arnold Netter,LH/1982/36,,biologiste | médecin
Antoine François Brenier de Montmorand,LH/357/21,,personnalité politique | militaire
Antoine François Péré,LH/2096/31,,personnalité politique
Antoine Gadaud,LH/1050/33,,personnalité politique
Antoine Gailleton,LH/1056/19,,personnalité politique | médecin
Antoine Georges François de Chabaud-Latour,LH/464/21,,personnalité politique | militaire
Antoine Giacomoni,19800035/1263/45573,,résistant | personnalité politique
Antoine Girardon,LH/2786/17,,officier
Antoine Gramat,LH/1185/15,,militaire
Antoine Gruyer,LH/1213/18,,officier | personnalité politique
Antoine Héron de Villefosse,LH/1294/25,,archéologue
Antoine Janin,LH/1352/14,,officier | personnalité politique | militaire
Antoine Jacques Louis Jourdan,LH/1381/42,,médecin militaire | chirurgien | traducteur | médecin | lexicographe
Antoine Jean Auguste Durosnel,LH/874/47,,officier | personnalité politique | militaire
Antoine Joseph Bertrand,LH/216/37,,officier | personnalité politique | militaire
Antoine Joseph Lemarchant de Gomicourt,LH/1577/28,,personnalité politique
Antoine Joseph Maurice d'André,LH/33/74,,officier | personnalité politique | militaire
Antonin-Just-Léon-Marie de Noailles,LH/1994/4,,personnalité politique
Antoine Lacassagne,19800035/1099/26074,,professeur | médecin
Antoine Lascoux,LH/1489/109,,magistrat
Antoine Lefebvre de Vatimesnil,LH/1547/98,,personnalité politique
Henri de Vatimesnil,LH/1547/98,,personnalité politique
Antoine Louis Daclin,LH/644/84,,personnalité politique
Antoine Louis Popon,LH/2199/91,,officier
Antoine Louis de Gourdon,LH/1179/18,,
Antoine Léchères,LH/1527/77,,photographe
Antoine Magnin,19800035/204/26760,,botaniste | médecin
Antoine Mariani,LH/1739/28,,administrateur | diplomate
Antoine Marie-Charles Fabre,19800035/541/61908,,personnalité politique
Antoine Maurin,LH/1803/13,,officier
Antoine Noguès,LH/1999/2,,officier
Antoine Ouvrier,LH/2029/15,,personnalité politique
Antoine Pailhes,LH/2035/36,,militaire
Antoine Philippe Guesviller,LH/1224/51,,officier | personnalité politique | militaire
Antoine Pierre Joseph Chapelle de Jumilhac,LH/483/23,,officier
Antoine Poictevin de la Rochette,LH/2184/52,,personnalité politique | militaire
Antoine Pol,19800035/1085/24708,,poète | militaire
Antoine Portal,LH/2202/26,,anatomiste | chirurgien | professeur | médecin
Antoine Quinson,19800035/705/80401,,personnalité politique
Antoine Raymond Baillot-Faral,LH/93/9,,officier
Antoine Romagnesi,LH/2376/3,,éditeur | compositeur
Antoine Rougé,LH/2394/37,,officier
Antoine Rémy,LH/2293/12,,officier | militaire
Antoine Sabarthès,19800035/209/27447,,prêtre catholique
Antoine Scrive-Labbe,LH/2490/14,,industrie
Antoine Siger,LH/2515/13,,personnalité politique
Antoine Simon Durrieu,LH/875/52,,officier | personnalité politique
Antoine Simon Durrieu,LH/875/60,,officier | personnalité politique
Antoine Sivard de Beaulieu,LH/2529/31,,personnalité politique
Antoine Tezenas,LH/2582/83,,personnalité politique
Antoine Tezenas,LH/2793/163,,personnalité politique
Antoine de Gramont d'Aster,LH/1185/31,,personnalité politique
Antoine de Mitry,LH/1890/33,,militaire
Antoine de Salinis,LH/2447/17,,prêtre catholique
Antoine Édouard Herman,LH/1292/70,,personnalité politique
Antonin Claude Dominique Just de Noailles,LH/1994/5,,diplomate | personnalité politique
Just de Noailles,LH/1994/5,,diplomate | personnalité politique
"Antonio, Tomaso Gianotti",LH/1129/14,,travaux publics | personnalité politique | personnalité du monde des affaires
Antonin Gosset,LH/1171/33,,espérantiste | chirurgien
Antonin Personnaz,19800035/258/34345,,collectionneur d'œuvres d'art | photographe
Antonin Viel de Lunas d'Espeuilles,LH/2698/3,,officier | personnalité politique | militaire
Arnouph Deshayes de Cambronne,LH/749/35,,
Arsène Danton,LH/657/30,,philosophe
Arsène Alexandre,19800035/214/28132,,collectionneur d'œuvres d'art | journaliste | historien de l'art
Arsène Lambert,LH/1455/35,,personnalité politique | écrivain
Arsène Leloup,LH/1573/4,,personnalité politique
Arsène Picard,LH/2144/11,,personnalité politique
Arthur-Stanislas Diet,LH/775/1,,architecte
Arthur Beugnot,LH/227/69,,historien | personnalité politique
"Auguste-Arthur, Comte de Beugnot",LH/227/69,,historien | personnalité politique
Arthur Chalamet,LH/469/54,,professeur agrégé | personnalité politique
Arthur Charles Dessoye,LH/759/60,,personnalité politique
Arthur Dessoye,LH/759/60,,personnalité politique
Arthur Charles Esprit de La Bourdonnaye,LH/1418/12,,personnalité politique | militaire
Arthur Chassériau,LH/500/57,,collectionneur d'œuvres d'art | agent de change
Arthur Daguin,19800035/458/61278,,généalogiste | historien du droit
Arthur Constantin Krebs,LH/1408/47,,ingénieur en aérospatiale | aviateur | inventeur | ingénieur | militaire
Arthur Dillon,LH/777/58,,journaliste | personnalité politique
Arthur Forgeais,LH/999/3,,archéologue | numismate
Arthur Fontaine,LH/994/31,,personnalité politique | ingénieur
Arthur Girault,LH/1150/37,,juriste
Arthur Giry,LH/1152/75,,archiviste | historien
Arthur Guéniot,LH/1216/68,,sculpteur
Arthur Hannequin,LH/1264/15,,philosophe
Arthur Hennique,LH/1283/21,,militaire
Arthur Hugenschmidt,19800035/387/51916,,chirurgien-dentiste
Arthur Joseph Poline,LH/2192/32,,militaire
Arthur Kleinclausz,19800035/1319/52693,,médiéviste
Arthur Le Duc,LH/1544/12,,sculpteur
Arthur Millon,19800035/205/26841,,
Arthur Mugnier,19800035/193/25133,,conférencier | prédicateur | prêtre
Arthur Richards,19800035/1104/26473,,résistant | personnalité politique
Arthur Stoclet,19800035/251/33487,,ingénieur
Arthur Vernes,19800035/1364/57833,,médecin
Arthur de Beauplan,LH/2402/8,,librettiste | dramaturge
Arthur de Chabaud-Latour,LH/464/22,,personnalité politique
Arthur de Lort de Sérignan,LH/1661/10,,militaire | enseignant | écrivain
Arthur de Salins,19800035/17/2190,,militaire
Arthur de Vogüé,LH/2736/3,,personnalité politique
Arthur de Quinemont,LH/2250/20,,diplomate | personnalité politique
Arthus Barthélémy Vingtrinier,LH/2727/22,,médecin
Arvède Barine,LH/2724/42,,critique littéraire | historien de l'art | traducteur
Ary Renan,LH/2294/45,,graveur | peintre | écrivain
Athanase Clément de Ris,LH/550/64,,personnalité politique | militaire
Athanase Conen de Saint-Luc,LH/580/59,,personnalité politique
Athanase-Jean-Baptiste Bricogne,LH/363/74,,financier | haut fonctionnaire
Athanase-Jean Bricogne,LH/363/75,,personnalité politique
Athanase Paul Renouard de Bussierre,LH/2301/28,,banquier | personnalité politique
Athanase Jean,LH/1360/45,,personnalité politique | médecin
Athanase de Villermont,LH/2720/94,,militaire
Aubert Frère,LH/1034/34,,résistant | militaire
Auguste-Antoine de Fourment,LH/1013/6,,personnalité politique
Auguste-Frédéric de Talhouët,LH/2565/2,,personnalité politique | militaire
Auguste-François Perrinon,LH/2792/79,,personnalité politique
Auguste-François Chomel,LH/531/48,,pathologiste | médecin
Auguste-Guillaume Taupier,LH/2572/1,,calligraphe
Auguste-Jean-Maurice Préaux-Locré,LH/2221/54,,écrivain
Auguste-Hyacinthe Debay,LH/677/36,,peintre | sculpteur
Auguste-Jean-Alexandre Law de Lauriston,LH/1509/25,,personnalité politique | militaire
Auguste-Joseph Bernard,LH/194/35,,personnalité politique
Auguste-Joseph Herlin,LH/1292/60,,peintre
Auguste-Joseph-Donat de Blondeau,LH/259/44,,personnalité politique
Auguste-Louis Loubatières,19800035/1442/66955,,médecin
Auguste-Joseph Magne,LH/1685/73,,architecte
Auguste-Louis Petiet,LH/2773/22,,officier | personnalité politique | militaire
Auguste-Nicolas Vaillant,LH/2661/17,,officier de marine | personnalité politique
Auguste-Olympe Hériot,19800035/74/9159,,personnalité du monde des affaires | militaire
Auguste-Rodolphe Darblay,LH/658/25,,personnalité politique
Auguste Albertini,19800035/850/36,,personnalité politique
Auguste Anastasi,LH/32/45,,peintre
Auguste Arnauné,LH/54/49,,haut fonctionnaire
Auguste Autrand,19800035/54/6569,,haut fonctionnaire
Auguste Audollent,19800035/370/49710,,latiniste | épigraphiste | archéologue | historien
Auguste Badin,LH/89/18,,industriel
Auguste Balsan,LH/100/63,,industriel | personnalité politique
Auguste Benoist de La Grandière,LH/180/24,,médecin militaire
Auguste Benoist de La Grandière,LH/180/26,,médecin militaire
Auguste Bella,LH/168/59,,soldat | agronome
Auguste Bernard,LH/194/36,,personnalité politique
Auguste Billiard,LH/240/64,,haut fonctionnaire | écrivain
Auguste Bichon,LH/233/76,,personnalité politique
Auguste Bleton,LH/257/5,,écrivain
Auguste Boppe,LH/293/3,,diplomate
Auguste Bosc,19800035/1478/71608,,chef d'orchestre | compositeur
Auguste Bougon,LH/312/3,,personnalité politique
Auguste Braun,LH/353/39,,officier | militaire
Auguste Brunet,19800035/149/18983,,personnalité politique | poète
Auguste Boué de Lapeyrère,LH/310/26,,militaire
Auguste Bussière,LH/397/70,,critique littéraire | journaliste | écrivain
Auguste Calvet,LH/411/65,,personnalité politique
Auguste Celos,19800035/276/36929,,personnalité politique
Auguste Caristie,LH/427/85,,architecte
Auguste Hatry,LH/1270/65,,officier | militaire
Auguste Clément Gérôme,LH/1124/62,,militaire
Auguste Daum,LH/667/54,,verrier | souffleur de verre
Auguste Denayrouze,LH/729/101,,marin | ingénieur
Auguste Detœuf,19800035/843/96418,,économiste
Auguste Donnet,LH/789/45,,personnalité politique
Auguste Dorchain,LH/791/38,,poète | écrivain
Auguste Dupont,LH/856/8,,journaliste | imprimeur | personnalité politique
Auguste Durst,LH/876/16,,peintre
Auguste Edmond Petit de Beauverger,LH/2126/47,,personnalité politique | avocat
Auguste Forestier,LH/997/86,,inventeur
Auguste Gauvain,LH/1099/43,,journaliste | diplomate
Auguste Gaudel,19800035/1258/45122,,prêtre catholique
Auguste François-Marie de Colbert-Chabanais,LH/2782/80,,officier | militaire
Auguste Gervais,LH/1125/66,,journaliste | personnalité politique
Auguste Gougeard,LH/1174/44,,officier | personnalité politique
René Grosdidier,19800035/106/13324,,personnalité politique
Auguste Génie,LH/1110/11,,personnalité politique
Auguste Heiligenstein,19800035/1404/62218,,vitrailliste | aviateur
Auguste Himly,LH/1301/34,,géographe | historien
Auguste III Blanchard,LH/251/13,,graveur
Auguste Isaac,LH/1335/67,,personnalité politique
Auguste Jean Baptiste Lechesne,LH/1528/3,,sculpteur
Auguste Jal,LH/1349/14,,historien | écrivain
Auguste Julien Bigarré,LH/236/44,,officier | personnalité politique
Auguste Laget de Bardelin,LH/1441/26,,soldat
Auguste Leblond,19800035/188/24440,,personnalité politique
Auguste Leloir,LH/1572/11,,peintre
Auguste Lefèvre,LH/1548/75,,officier de marine | personnalité politique
Auguste Lepère,LH/1595/49,,dessinateur | artiste graphique | peintre | illustrateur | graveur
Auguste Leroux,19800035/25/3216,,lithographe | peintre | illustrateur
Auguste Maillard,19800035/554/63262,,sculpteur
Auguste Marie Gicquel des Touches,LH/1130/85,,officier de la Marine française
Auguste Merle,19800035/248/33080,,personnalité politique
Auguste Mayer,LH/1807/64,,peintre | illustrateur
Bernard Leandri,LH/1510/4,,avocat | juriste | militaire
Bernard Lecache,19800035/920/7392,,journaliste
Bernard Naudin,19800035/791/89350,,dessinateur | caricaturiste | artiste graphique | peintre | créateur de caractères
Bernard Prues,LH/2235/14,,officier
Bernard Renault,LH/2299/9,,botaniste | paléontologue
Bernard Serrigny,19800035/117/14774,,militaire
Bernard Siadous,19800035/900/5300,,administrateur colonial
Camille Enlart,LH/898/44,,archéologue | historien de l'art
Bernard Tissot,19800035/954/10874,,personnalité politique
Bernard de Susbielle,LH/2559/17,,officier
Bernardin Raugel,19800035/705/80434,,officier
Berthold Mahn,19800035/1447/67439,,dessinateur | peintre | illustrateur
Bertrand Auerbach,LH/73/28,,géographe | historien
Bertrand Bessières,LH/223/77,,officier
Bertrand Carrère,19800035/811/92215,,personnalité politique
Bertrand Fagalde,19800035/719/81895,,militaire
Bertrand Nogaro,LH/1998/45,,personnalité politique
Bertrand Pierre Castex,LH/447/48,,officier | personnalité politique
Bertrand Pujo,19800035/605/68339,,aviateur | officier | personnalité politique
Bertrand Villemain,LH/2719/18,,personnalité politique
Bertrand de Fénelon,LH/2446/58,,diplomate
Bertrand de Mun,19800035/413/55306,,officier | personnalité politique
Bertrand de Montesquiou-Fézensac,LH/1918/61,,officier de la Marine française
Paul Lhérie,LH/1630/1,,professeur de musique | artiste lyrique
Blaise Dubruel,LH/817/72,,personnalité politique
Blaise de Jouvencel,LH/1384/8,,personnalité politique
Blanche Odin,19800035/742/84285,,peintre
Bonaventure Leca,19800035/1196/38337,,personnalité politique
Bonaventure de Chantérac,LH/633/50,,personnalité politique
Boniface Paradis,LH/2047/51,,personnalité politique | avocat
Boniface de Castellane,LH/446/13,,personnalité politique | militaire
