pays,ville,coordonnesgroup
Maroc,Ighil n'Oumgoun,Point(-6.24 31.5)
Maroc,Irherm,Point(-8.49098 30.09301) | Point(-8.45972222 30.0875) | Point(-8.46 30.093)
Maroc,Itzer,Point(-5.05416667 32.88083333)
Maroc,Oualidia,Point(-9.01666667 32.73333333)
Maroc,Laaounate,Point(-8.1942 32.7446)
Maroc,Lakhiaita,Point(-7.77611111 33.36694444)
Maroc,Ben Slimane,Point(-7.12111111 33.61222222)
Maroc,Laâtamna,Point(-7.335 31.911666666) | Point(-2.259722222 35.009444444)
Maroc,Lakhsas,Point(-9.74633 29.37163) | Point(-9.72606 29.412069)
Maroc,Moulay Bouazza,Point(-6.19805556 33.22416667) | Point(-6.13193 33.25646)
Maroc,Skhirate,Point(-7.03 33.85)
Maroc,Ouaoumana,Point(-5.80416667 32.71277778)
Maroc,Ourika,Point(-7.8048323 31.3780274)
Maroc,Tinghir,Point(-5.532777777 31.514722222)
Maroc,Sidi Hajjaj,Point(-7.40583 33.1119)
Maroc,Sidi Harazem,Point(-4.88333333 34.02777778)
Maroc,Sidi Jaber,Point(-6.41666667 32.38333333)
Maroc,Sbouya,Point(-10.201 29.1522)
Maroc,Sidi Abed,Point(-8.688611111 33.049444444)
Maroc,Sidi Allal El Bahraoui,Point(-6.417 33.983)
Maroc,Taddart,Point(-3.70777778 34.18805556)
Maroc,Tadrart,Point(-9.4612 30.771)
Maroc,Tafajight,Point(-4.291667 33.541667)
Maroc,Boudnib,Point(-3.60777778 31.94972222) | Point(-3.59727 31.950491)
Maroc,M'rirt,Point(-5.56666667 33.16666667) | Point(-5.56338 33.16537)
Maroc,Tit Mellil,Point(-7.48222 33.5533) | Point(-7.48583 33.5581)
Maroc,Tiztoutine,Point(-3.15 34.98333333)
Maroc,Zagora,Point(-5.837569444 30.331611111)
Maroc,Ben Mansour,Point(-6.4275 34.516111111)
Maroc,Oulad Slama,Point(-6.460277777 34.335555555)
Maroc,Assahrij,Point(-7.1475 31.79136) | Point(-7.14 31.8)
Maroc,Aghbal,Point(-2.14551 34.93817) | Point(-2.127222222 34.939444444)
Maroc,Haouza,Point(-10.9711 27.1109)
Maroc,Khémisset,Point(-6.06 33.81)
