leonoreid,noms
LH/649/72,Jean Baptiste Jules Dalstein
LH/953/49,Jean Baptiste de Félix du Muy
LH/674/73,Jean Charles Joachim Davillier
LH/578/18,Jean Compagnon
LH/726/2,Jean Dembarrère
LH/763/66,Jean Deval de Guymont
LH/870/16,Jean Durand de Villers
LH/598/102,Jean François Coste
LH/551/87,Jean Joseph Gustave Cler
LH/90/70,Jean Louis Charles Bagniol
LH/617/53,Jean Joseph Antoine de Courvoisier
LH/1419/43,Joachim Labrouche
LH/2788/113,Joachim Lebreton
LH/636/32,Joseph-Anne-Maximilien de Croÿ d'Havré
LH/1792/11,Joseph-Charles-Maurice Mathieu de La Redorte
LH/1558/95,Joseph-Julien Le Gonidec de Kerdaniel
LH/1672/39,Joseph-Marie-Prudent Lucas de Bourgerel
19800035/1217/40555,Joseph-Pierre Lanet
19800035/973/12849,Joseph Allauzen
LH/851/46,Joseph Dupertuis
LH/2202/67,Joseph Ernest Portalis
LH/1282/29,Joseph Hennequin
LH/2519/30,Joseph Jérôme Siméon
19800035/1161/32644,Joseph Rosselli
LH/423/91,Joseph de Carayon-Latour
LH/1281/72,Jules-François Hennecart
LH/717/18,Jules Delon-Soubeiran
LH/2516/4,Jules Siegfried
LH/2535/45,Julien-Armand Soret
19800035/1231/41957,Justin Perchot
LH/905/32,Jérôme Esnault
19800035/1162/32991,Louis-Paul Aujoulat
19800035/1313/51906,Louis Pimont
19800035/0011/1390,Marguerite Moreno
LH/899/56,Jacques Epron-Desjardins
19800035/211/27702,Louis-Virgile-Raoul du Saussay
LH/7/47,Louis Émile (dit Émile) Adan
19800035/243/32269,Louis Brindeau
LH/661/49,Alfred Darimon
LH/692/17,Louis Dein
LH/1225/30,Louis Henri de Gueydon
LH/2401/46,Louis Jacques Rousseau
LH/2397/28,Louis Julien de Roujoux
LH/1989/71,Louis Nicolle
LH/903/45,Léon Escoffier
LH/1708/19,Léon Mallard de La Varende
LH/1736/7,Léon Marescaux
19800035/750/85078,Léon Sireyjol
LH/2392/57,Léonce Rousset
19800035/880/3253,Madeleine Martinache
LH/410/100,Marc Antoine Calmon
19800035/738/83792,Marcel Habert
LH/2573/65,Marie-Césaire du Teil
LH/2663/36,Marie-Edmond Valentin
LH/1070/21,Marie Théodore Urbain Garbe
LH/1119/39,Maurice Gérard
LH/1799/20,Maurice Maunoury
19800035/340/45827,Max Hymans
19800035/0103/12906,Paul Hallez
LH/2307/27,"Louis, Antoine, Innocent Revoire"
LH/2505/34,Nicolas Serpillon
LH/848/63,"Pierre, Mathieu, Philippe, Joseph Dumoulin"
LH/2666/75,Stanislas Michel François Vallet De Merville
LH/712/46,Jean-Baptiste Delgorgue de Rosny
LH/1705/13,Valentin Charles Hubert Malet de Coupigny
LH/632/21,Alexandre Romain Crochon
LH/444/69,André De Biaudos De Castéja
LH/1189/22,Gilles Louis Antoine De Grandsaigne
LH/1001/15,Jean François Gaspard Fornier de Clauselles
LH/1375/36,Auguste Guillaume Josse-Beauvoir
LH/2378/77,Henri Marie Gabriel Rondel
LH/1396/62,Jean Louis Bonaventure de Kenny
LH/475/67,Gérard Antoine Louis de Champflour
LH/1352/70,Antoine Jankovitz de Jeszenicze
LH/2577/23,Claude Marie Terrasson
LH/35/81,Jean-Baptiste André d'Aubière
LH/951/26,François-Joseph Febvre
LH/1842/47,Jacques Merveilleux de Mortafond
LH/2317/37,François Louis Charles de Ricard
LH/134/37,Raymond de Bastoulh
LH/743/28,François Gabriel Desbrest
LH/1151/26,Jean-Baptiste Girod
LH/726/47,Étienne François Philippe Demesmay
LH/1294/3,"Joseph, François Hernandez"
LH/1870/27,"François, Laurent Michelet De Rochemont"
LH/231/14,Melchior Bézave De Mazières
LH/2494/1,Amans Joseph Henri de Séguret
LH/2747/23,Louis Joseph de Warenghien de Flory
LH/338/61,"Jean, Hyacinthe De Bouteiller"
LH/927/39,Etienne Odile Alexandre de Falaiseau
LH/530/49,"Antoine, Fabien Cholet"
LH/944/35,Henri Joseph Désiré Fauvel
LH/603/3,"Louis, Marie Coudé"
LH/1809/47,Jean-Baptiste François Mayneaud de Pancemont
LH/2596/71,Augustin Jean-Claude Thomas
LH/298/7,Laurent Borne
LH/1551/69,Hervé François Lefollet
LH/550/48,Pierre Louis Clément
LH/146/19,François Joseph Baumlin
19800035/1109/27016,Joseph Mathurin Marie Dumas
LH/2150/54,Denis Ferdinand Picquet
LH/1326/14,Sébastien Humbert
LH/591/4,François Michel Joseph Corne
LH/220/20,Louis Antoine François Bertrand du Montfort
LH/1314/5,"Eustache, Antoine Hua"
LH/1091/49,Constantin Mametz Gustave Gaujot
LH/1459/47,Gabriel Lamé
LH/274/78,Léon Bollée
LH/448/16,Alexis de Castillon
19800035/203/26559,Georges Hüe
LH/1891/20,Gaston Moch
LH/2105/12,Adolphe Perraud
LH/957/23,Pierre Marie Barthélemy Ferino
LH/23/8,Charles Martial Lavigerie
LH/1131/25,Henri Giffard
LH/42/2,Alexandre Antigna
19800035/633/73210,Louis Cazamian
LH/2266/51,François-Marie Raoult
LH/2591/40,Augustin Thierry
C/0/20,Félix Gouin
LH/1645/67,Jules Antoine Lissajous
LH/2542/10,Pierre Benoît Soult
LH/2668/75,Agathon Léonard
19800035/1326/53584,Edgar Maxence
LH/222/36,Albert Besnard
19800035/1384/59899,Louis Fourestier
19800035/571/64930,Gabriel Pierné
19800035/1267/46029,André Marie
19800035/1481/72058,Jeanne Paquin
LH/2601/39,Francis Thomé
LH/1307/39,Théophile Homolle
19800035/372/49942,Marcel Aubert
LH/1081/9,Félix Garrigou
19800035/552/63041,Léon Levavasseur
LH/2568/9,Auguste Ambroise Tardieu
LH/436/35,Eugène Carrière
LH/1274/62,Paul Hazard
LH/2738/25,Volney
LH/2768/61,Félix Ziem
LH/1912/45,Charles Monselet
LH/298/52,Amédée Borrel
19800035/839/95897,Alexandre Schaumasse
LH/79/97,Louis Auzoux
LH/2253/8,Henri Rabaud
19800035/957/11108,Charles Munch
LH/2498/15,Paul Séjourné
LH/1996/41,François Noël
LH/1426/7,Jean-Baptiste Lacoste
LH/500/45,Antoine Alphonse Chassepot
LH/260/3,André Blondel
19800035/216/28345,Charles Diehl
19800035/34/4392,André Auffray
LH/370/7,André Brochant de Villiers
19800035/788/89111,André Jullien
LH/2483/51,Guillaume Schnaebelé
LH/1018/4,Louis Édouard Fournier
19800035/103/12944,Jacques Hermant
LH/91/61,Benjamin Baillaud
19800035/1439/66533,Marcel Bataillon
19800035/627/72561,Jacques Audiberti
LH/389/47,Louis Buffet
19800035/451/60367,François-Benjamin Chaussemiche
LH/2671/52,Antoine-Baudoin-Gisbert Van Dedem
LH/2324/78,Jean Richepin
LH/1412/14,Théodore Labarre
LH/463/87,François Chabas
C/0/31,Charles Nollet
LH/1351/87,Paul Janet
LH/2105/32,Léon Perrault
LH/1297/73,Henri Herz
LH/1505/14,Alexandre Lavalley
LH/2336/15,Édouard Riou
LH/1185/22,Agénor de Gramont
19800035/233/30963,Antoine Calbet
LH/1259/20,Joseph Halévy
LH/1489/56,Antoine Charles Louis Lasalle
LH/273/53,Pierre Boitard
LH/2710/23,Clovis Vincent
LH/2610/70,Nicolas Auguste Tissot
LH/962/16,Gustave Ferrié
LH/2698/38,Joseph-Marie Vien
LH/922/16,Bernard-Raymond Fabré-Palaprat
19800035/830/94709,Pierre Gerlier
LH/2257/39,Jean-François Raffaëlli
LH/1683/6,Georges Madon
19800035/1186/37585,Henri Büsser
19800035/235/31160,Alfred Martineau
LH/871/40,Adolphe Dureau de la Malle
19800035/699/79883,Pierre Montet
LH/298/31,Jean-Baptiste Édouard Bornet
19800035/832/94902,Eugène Freyssinet
LH/829/6,Auguste-Alexandre Ducrot
LH/2351/23,Joseph-Nicolas Robert-Fleury
LH/666/7,Gabriel Auguste Daubrée
LH/1536/28,Jean-Jules-Antoine Lecomte du Nouÿ
19800035/799/90441,Othon Friesz
LH/41/78,Georges-Charles de Heeckeren d'Anthès
19800035/1469/70098,Célestin Bouglé
LH/589/25,Charles Cordier
LH/1990/2,Joseph Nicollet
LH/2352/55,Charles Philippe Robin
LH/1157/72,Théodore Nicolas Gobley
LH/1166/60,Edmond Gondinet
LH/1250/24,Ulric Guttinguer
LH/762/3,Édouard Detaille
19800035/552/63046,Sylvain Lévi
19800035/395/52918,Paul Guillaume
LH/826/64,Louis Ducos du Hauron
19800035/251/33512,Ferdinand Arnodin
LH/666/70,Ernest Daudet
LH/422/58,Jean-Augustin Capperonnier
LH/644/80,Bon-Joseph Dacier
19800035/1283/48075,Louis de Robert
LH/773/33,Isidore Didion
LH/1295/57,Louis Hersent
LH/1448/48,Auguste Lalance
19800035/1384/59925,Georges Davy
LH/1616/86,Ismaël de Lesseps
LH/1926/25,Henri Mordacq
LH/408/6,Auguste Cain
LH/2306/54,Albert Réville
LH/1158/15,Benjamin Godard
19800035/1009/16596,Jean Charbonneaux
LH/575/62,François Combes
19800035/1484/72530,Paul Lebeau
19800035/577/65561,Louis Fage
LH/1681/91,Pierre Justin Marie Macquart
LH/806/42,Jean-Baptiste Drouet d'Erlon
LH/869/65,Charles Alexandre Léon Durand de Linois
LH/1583/50,Anicet Charles Gabriel Lemonnier
LH/381/78,Alfred Bruneau
LH/948/65,Victor de Fay de La Tour-Maubourg
LH/205/48,Jean-François Berruyer
LH/414/26,Alexandre-François Caminade
LH/6/2,Émile Acollas
LH/1226/88,Joseph Hippolyte Guibert
LH/298/86,Louis Augustin Guillaume Bosc
19800035/128/16199,Jacques Curie
LH/1646/30,Felia Litvinne
LH/1733/41,Jules Marcou
LH/2635/26,Gustave Pierre Trouvé
LH/499/17,Philarète Chasles
LH/1391/74,Edmond Jurien de La Gravière
LH/1811/36,Eugène de Mazenod
LH/2574/4,Léon Teisserenc de Bort
LH/1829/25,Dominique Martin Méon
LH/1823/23,Catulle Mendès
LH/1286/42,Hubert Henry
19800035/1367/58006,Joseph-Marie Martin
LH/671/9,Casimir Davaine
LH/303/102,Charles Joseph Bouchard
LH/1034/30,Charles-Émile Freppel
LH/335/3,Charles Bourseul
19800035/1378/59180,Charles Braibant
19800035/255/33996,Charles Henri Marie Flahault
LH/1626/30,Charles Lévêque
LH/681/24,Charles Mathieu Isidore Decaen
19800035/541/61982,Louis Finot
LH/1789/9,Claude-Louis Mathieu
LH/1914/44,Claude Montal
19800035/1366/57936,Georges Marrane
LH/2288/49,Joseph Toussaint Reinaud
LH/2651/2,Firmin Gémier
LH/1061/7,Louis Gallet
LH/1339/101,Pierre Jacotin
19800035/542/62096,Alfred Foucher
LH/852/54,Philippe Dupin
LH/1073/51,Ricciotti Garibaldi
LH/1073/52,Ricciotti Garibaldi
19800035/1469/70108,Don Jean Colombani
19800035/180/23243,Marie-Joseph Lagrange
LH/798/66,René Doumic
LH/2095/44,Pierre-François Percy
LH/74/13,Albert Auger
LH/800/9,Edmond Doutté
LH/1276/73,Pierre Edmond Alexandre Hédouin
LH/2514/85,Edouard Sieffermann
19800035/187/24381,Hugues Krafft
LH/2149/48,Georges Picot
LH/2438/22,Marc Girardin
LH/2002/68,Jacques Normand
LH/1626/19,Eloy Leveque
LH/625/50,Hector Crémieux
19800035/110/13895,Emmanuel Gambardella
19800035/356/47940,Louis Massignon
LH/563/58,François Coli
LH/774/18,Louis Diémer
LH/1274/88,Ernest Hébert
LH/2671/5,Benjamin Valz
LH/1404/22,Hyacinthe Klosé
LH/2788/42,Eugène Lami
LH/702/19,Eugène Delaplanche
LH/939/2,Ernest de Jonquières
LH/693/12,Pierre François Marie Auguste Dejean
LH/2734/63,Louis Vivien de Saint-Martin
LH/2361/43,"François Alexandre Frédéric, duc de la Rochefoucauld-Liancourt"
LH/482/32,Alfred Chanzy
LH/1778/31,André Masséna
LH/156/74,Louis-Antoine Beaunier
LH/1358/23,Bernard Jauréguiberry
19800035/1044/20411,Marc Boegner
LH/1157/63,Joseph Arthur de Gobineau
LH/427/76,Jean Cariou
LH/1819/11,Jeanne Lanvin
LH/818/28,Édouard Louis Dubufe
19800035/209/27354,Édouard Rosset-Granger
LH/189/16,Émile Bergerat
LH/340/85,Émile Boutmy
19800035/245/32634,Émile Doumergue
19800035/1175/36082,Maurice Savin
LH/1373/19,Émile Jonas
19800035/173/22332,Émile Laffon
LH/1581/45,Émile Lemoine
LH/2149/33,Émile Picot
LH/1146/58,Émile de Girardin
LH/2300/86,Émilien Jean Renou
LH/466/21,Louis François Jean Chabot
LH/1464/49,Étienne Lancereaux
LH/1931/11,Étienne Moreau-Nélaton
LH/2516/40,Emmanuel Joseph Sieyès
19800035/1168/33348,Marthe Bibesco
LH/2411/2,Gaston Leroux
LH/1595/8,François Lepelletier
LH/2698/97,Auguste-Frédéric-Louis Viesse de Marmont
LH/85/63,Joseph Babinski
LH/541/42,Benoît Paul Émile Clapeyron
LH/1077/65,Charles Garnier
19800035/1106/26748,Marcel Dupré
LH/2556/43,Louis-Gabriel Suchet
19800035/89/11136,Abel Lefranc
LH/438/90,Théodore Caruelle d'Aligny
19800035/190/24799,Florent Schmitt
19800035/629/72830,Eugène Bigot
LH/367/9,Gustave Brion
LH/143/7,Henri Baudrillart
LH/1023/21,Antoine Français de Nantes
19800035/300/40332,Georges Chedanne
LH/1273/71,François Nicolas Benoît Haxo
LH/1496/69,Désiré François Laugée
LH/2001/49,Franz de Champagny
LH/2396/42,Pierre Louis Rouillard
19800035/370/49714,Nicolas Maurice Arthus
LH/1281/6,Eugène Hénard
LH/1085/10,Léon Gastinel
LH/2680/93,Louis-Nicolas Vauquelin
LH/1665/34,Pierre Louÿs
19800035/1147/31266,Jules Romains
19800035/1183/36993,Achille Liénart
LH/1146/73,Jean Pierre Louis Girardin
LH/2290/77,Charles de Rémusat
LH/1472/5,"Jean Denis, comte Lanjuinais"
LH/1259/21,Léon Halévy
LH/2423/18,François Rude
19800035/616/69671,Barthélemy Boganda
19800035/1200/38750,Raymond Decary
LH/538/40,Arthur Chuquet
LH/2192/15,Jules de Polignac
LH/1463/56,François-Joseph-Amédée Lamy
LH/1583/43,John Lemoinne
19800035/1255/44773,Jean Daniélou
LH/1946/49,Henri-Paul Motte
19800035/226/29879,Vincent de Moro-Giafferi
LH/1036/28,Charles Friedel
LH/1537/42,Paul-Émile Lecoq de Boisbaudran
19800035/823/93700,Eugène Schueller
LH/705/24,Charles-Eugène Delaunay
LH/2508/78,Jean-Mathieu-Philibert Sérurier
LH/2141/18,Jean-Adrien Philippe
LH/2127/18,Armand Dufrénoy
LH/140/40,Auguste Baudin
LH/553/50,Aimé Marie Gaspard de Clermont-Tonnerre
LH/1740/22,Maximilien Marie
LH/1151/52,Anne-Louis Girodet
19800035/862/1356,Eugénie Cotton
LH/2476/36,Ary Scheffer
LH/1721/19,Eugène Manuel
LH/659/25,Henry Darcy
LH/1011/64,"Antoine François, comte de Fourcroy"
LH/965/30,Joseph Fesch
19800035/408/54554,Jacques Villon
LH/2285/51,Jean-Baptiste Regnault
LH/2246/47,Joseph-Marie Quérard
LH/2157/25,Fernand Cormon
19800035/761/86467,Ambroise Vollard
LH/2180/20,Armand Emmanuel Sophie Septemanie de Vignerot du Plessis
19800035/823/93718,Jules Marouzeau
LH/185/3,Jean Béraud
LH/1046/23,Numa Denis Fustel de Coulanges
LH/870/53,Luc Joseph Jean Duranteau de Baune
LH/983/55,François Fleury
LH/50/27,Germain Armand
LH/499/14,Henri Lubin Adelphe Chasles
LH/632/74,Jean-François-Xavier Croissant
LH/646/73,Gustave Daguilhon-Pujol
LH/772/10,Claude Nicolas Didelot
LH/813/20,Louis Félix Dubois
LH/975/10,Antoine Finot
LH/858/12,Étienne Dupouy
LH/467/52,Félix Chadenet
LH/598/89,Jacques Coste-Floret
LH/458/35,Mathieu Cazelles
LH/65/67,Édouard Aubertin
LH/849/34,Henri Dunaime
LH/45/62,Gaston Arbouin
LH/469/7,Auguste Chais
LH/475/8,Auguste Champanhet
19800035/412/55152,Gilles Chateau
LH/597/34,Aimé de Cossé-Brissac
LH/672/93,Isidore David
19800035/1314/51970,Jean Debève
19800035/727/82659,Albert Denis
LH/958/42,Augustin Féron
19800035/146/18656,Francis Fesq
LH/1040/42,Alcée Froin
LH/1160/42,Camille Godelle
LH/1736/82,Antoine Marfan
19800035/740/84039,Alfred Maire
LH/1751/71,Jean Marrot
LH/2046/18,Pierre Papinaud
19800035/260/34652,René Parenteau
19800035/1214/40199,Amédée Peyroux
LH/2181/2,Alexandre de Plœuc
LH/2223/14,André Prétavoine
LH/2470/47,Marc Sauzet
LH/2530/63,Marcellin Souhet
LH/2563/57,François Taillefer
19800035/822/93530,Joseph Tillie
LH/2671/46,Georges Vandame
19800035/824/93814,Maurice-Paul Vincent
LH/64/67,Honoré Landoald Aubert
LH/566/2,Bernard-Camille Collas
LH/817/75,Gaspard Dubruel
LH/1007/16,Victor Foucqueteau
LH/1489/66,Louis Théodore de Lasalle
LH/2309/6,Philippe Rey
LH/542/11,Louis Antoine de Clarac
LH/2316/61,Thomas Riboud
LH/273/95,Édouard Boittelle
LH/524/23,Marie Charles Clair Louis François de La Chevardière de La Grandville
LH/1575/1,Paul André Louis Lemaire
LH/870/5,Pierre Durand du Repaire
LH/1593/55,Charles Thomas Joseph Gabriel Lepaige
LH/1857/5,François Meynard
LH/720/26,Jean André Delpit
LH/2341/63,Jean-Louis Rivière
19800035/1145/31050,Henri Duflot
LH/1390/14,Jean Jullou
LH/1447/44,Jean-Baptiste-Barthélemy Lajard
LH/1182/88,Louis René de Gouyon-Thaumatz
LH/2526/41,Jean-François Simonnot
LH/1033/33,Gabriel François Charles Frémin-Dumesnil
LH/2192/74,Victor Florence Pollet
LH/2022/24,Michel-Ange d'Ornano
LH/795/56,Christophe Doublat
LH/1512/40,"Emmanuel, Marie, Amédée Lebeau"
LH/565/46,Jacques Collard
LH/463/34,Jean Guillaume Chabalier
LH/226/36,Charles de Béthisy
LH/899/41,Joseph de l'Epine
LH/1121/53,Hyacinthe-Benjamin Gerbidon
LH/697/87,Antoine Edme Delahuproye
LH/2556/36,Gabriel Catherine Suchet
LH/305/83,Louis Claude Boucher
LH/8/75,Jean-Louis Admyrauld
LH/2563/21,Claude Philippe Tailhandier
LH/232/38,Charles de Biancourt
LH/745/27,Antoine Deschamps de La Varenne
LH/392/77,Pierre Ignace Bulle
LH/139/3,Charles Joseph Alexandre Baudel-Martinet
LH/950/24,Jean Raymond Fayolle
LH/816/42,Gaspard-Marie Duboys
LH/289/44,Antoine Bonnet de Lescure
LH/2287/39,Claude François Joseph Reibell
LH/951/31,Pierre Andoche Febvre
LH/552/15,Michel Pierre Clerc
LH/1801/2,"Jacques, Jean, Reymond Maurel"
LH/2059/21,"Alexandre, Charles Pascal"
LH/757/64,"Jean-Marie, Austremoine Desribes"
LH/1248/21,"Antoine, Joseph Guitard"
LH/2633/85,Pierre Trottier
LH/678/40,Antoine Debia
LH/2475/3,Louis Philippe Winoc Schadet
LH/271/79,"Pierre, Bruno Boissier"
19800035/565/64330,Rémy Roux
LH/159/49,Joseph de Beccarie de Pavie de Fourquevaux
LH/2203/17,Jean Gilles Denis Porte
LH/2453/34,Charles Sancy
19800035/758/85976,Adophe Rayssac
LH/480/50,Jules Chanoine
LH/981/19,Honoré Flaugergues
19800035/220/28932,Léon Groc
19800035/1301/50180,André Dunoyer de Segonzac
19800035/1477/71386,André Strohl
19800035/240/31927,André Weiss
19800035/138/17468,Henri Dentz
LH/707/100,Théophile Delcassé
LH/2583/2,Martial Thabard
LH/1324/8,Pierre-Augustin Hulin
LH/93/21,Pierre Baillot
LH/385/12,Ferdinand Brunot
LH/2202/66,Jean-Étienne-Marie Portalis
LH/2466/72,François Clément Sauvage
19800035/808/91797,André Sainte-Laguë
19800035/993/14946,André Salmon
19800035/888/4042,André Thérive
LH/2019/52,Adolphe Opper de Blowitz
LH/167/16,Eugène Belgrand
LH/1950/45,Jean-François Moulin
19800035/1184/37061,Gabriel Voisin
LH/554/26,Justin Clinchant
C/0/27,Louis Faidherbe
LH/598/28,Pantaléon Costa de Beauregard
LH/462/25,François Certain de Canrobert
LH/2282/86,Pierre-Joseph Redouté
LH/2779/36,Robert Surcouf
LH/2010/17,Ulrich Ochsenbein
19800035/1160/32563,Robert Casadesus
LH/2655/54,Georges Urbain
19800035/107/13454,Louis Georges Gouy
LH/2471/25,Anne Jean Marie René Savary
LH/857/29,Pierre Samuel du Pont de Nemours
19800035/392/52580,Henri Le Sidaner
LH/54/22,Antoine-Vincent Arnault
LH/2692/6,Carle Vernet
LH/2161/43,Antoine Pillet
19800035/1238/42935,Henri Lafleur
LH/2195/19,François Pompon
19800035/88/11022,Joseph Lecacheux
19800035/318/42889,Albert Châtelet
LH/1358/28,Benjamin Jaurès
LH/2368/76,Herminie de La Brousse de Verteillac
LH/1688/33,Maurice Magre
19800035/1163/32884,Henry Houry
LH/1175/48,Ernest Goüin
LH/852/26,André Marie Jean Jacques Dupin
LH/485/73,Henri Chapu
19800035/395/52986,Xavier de Sevin
LH/462/1,Laurent Cerise
LH/57/94,Ernest Arrighi de Casanova
LH/1094/28,Gustave Gautherot
LH/646/3,Pascal Dagnan-Bouveret
LH/35/35,Louis André
LH/2060/50,Jules Pasdeloup
LH/578/55,Gabriel Compayré
LH/451/80,Armand Augustin Louis de Caulaincourt
19800035/1021/17943,Louis Malleret
LH/430/54,Elme-Marie Caro
LH/2476/15,Alexis Balthazar Henri Schauenburg
LH/839/5,Guillaume Philibert Duhesme
LH/107/22,François Barbé-Marbois
LH/1299/31,Léon Heuzey
19800035/355/47681,Paul Landowski
19800035/1178/36451,Jules Ladoumègue
LH/44/10,Paul Appell
19800035/459/61465,Georges Daressy
LH/1942/14,François-Nicolas-Madeleine Morlot
19800035/309/41612,Jean Paul Vuillemin
LH/2461/49,Ferdinand Sarrien
19800035/197/25726,Louis Charles Breguet
C/0/48,Ferdinand Hamelin
LH/935/21,Pierre Fatou
LH/1373/26,Victorin de Joncières
LH/1473/46,Charles Lanrezac
LH/2508/3,Joseph-Alfred Serret
LH/2270/5,Charles-Frédéric Rau
LH/2511/21,Déodat de Séverac
LH/919/54,François-Xavier Fabre
LH/1877/14,Pierre Mille
LH/2166/46,Amaury-Duval
LH/1264/51,Victor Charles Hanot
LH/651/77,Jean-Philibert Damiron
19800035/1437/66346,Henri Langlois
LH/312/74,Louis-Hyacinthe Bouilhet
LH/485/78,Auguste Chapuis
LH/2025/52,Auguste Ottin
LH/2085/14,Auguste Pellerin
19800035/35/4519,Auguste Pavie
LH/2513/52,Marie Dominique Auguste Sibour
19800035/617/69708,Andrée Borrel
LH/518/44,Joseph Chéret
LH/1219/22,Alphonse Guérin
LH/2468/52,Stephen Sauvestre
LH/2791/91,Aubin-Louis Millin de Grandmaison
LH/2745/26,Auguste Walras
19800035/10/1292,Benjamin Crémieux
19800035/1131/29550,Daniel Schlumberger
19800035/1195/38160,Daniel Schlumberger
LH/910/28,Jean Julien Estrangin
LH/433/81,Jean Nicolas Louis Carré
LH/2486/22,Jean Paul Adam Schramm
LH/968/54,"Jean Gilbert Victor Fialin, duc de Persigny"
LH/706/9,Joseph Delauro
LH/826/63,Joseph Ducos
LH/696/8,Jules Delafosse
LH/2533/48,Justinien-Victor Somis
LH/693/51,Jérôme de Laage de Meux
LH/1301/33,Louis-Alexandre Himbert de Flégny
LH/1561/74,Louis-Désiré Legrand
LH/33/14,Louis-Gabriel-Auguste d'Andigné de Mayneuf
LH/172/3,Louis-Marie de Belleyme
LH/1008/68,Louis-Édouard Fouler de Relingue
LH/154/58,Louis-Édouard de Beaufort
LH/281/5,Louis Bernard Bonjean
LH/343/65,Louis Bouvier-Dumolart
19800035/1466/69691,Louis Brunet
LH/2087/32,Louis François Élie Pelletier
LH/1057/15,Louis Galabert
LH/1445/16,Louis Joseph Lahure
LH/1960/25,Louis Mouttet
19800035/1023/18102,Louis Pasteur Vallery-Radot
19800035/122/15386,Louis Rollin
19800035/751/85136,Louis Tissier
LH/2158/23,Édouard Piette
LH/1587/43,Lucien-Thrasybule Lenglet
LH/746/46,Laurent Descours
LH/428/6,Louis-Constant-Jacques Carl
LH/798/7,Louis-Gustave Doulcet de Pontécoulant
LH/942/10,Louis-Joseph Faure
LH/783/43,Louis Doguereau
LH/1414/44,Léon Labbé
19800035/1095/25702,Léon Thébault
19800035/0315/42503,Marcelle Tinayre
19800035/315/42503,Marcelle Tinayre
LH/938/30,Marie-Félix Faulcon de La Parisière
LH/501/73,Marie-Joachim-Isidore de Chastellier
LH/2713/72,Martin Vignolle
LH/2337/26,Maurice Gabriel de Riquet de Caraman
LH/2212/70,Maurice de Poulpiquet du Halgouët
LH/2322/61,Max Richard
19800035/1405/62450,Paul Delarbre
19800035/1456/68280,Paul Morel
LH/1300/58,Philippe Higonet
19800035/930/8406,Pierre Couinaud
LH/124/29,Pierre Jules Baroche
LH/826/66,Nicolas Ducos
LH/398/17,Octave Butin
LH/2290/14,Ovide de Rémilly
LH/458/76,Paul Cazeneuve
LH/2656/76,Philippe François Didier Usquin
